name	fullName	type	api.link.self.href	endLeaf
Lung Disease	\Public Studies\GSE8581\Subjects\Lung Disease\	CATEGORICAL_NODE	/studies/gse8581/concepts/Subjects/Lung%20Disease	TRUE
lymphoma	\Public Studies\GSE8581\Endpoints\Diagnosis\lymphoma\	CATEGORICAL_OPTION	/studies/gse8581/concepts/Endpoints/Diagnosis/lymphoma	FALSE
male	\Public Studies\GSE8581\Subjects\Sex\male\	CATEGORICAL_OPTION	/studies/gse8581/concepts/Subjects/Sex/male	FALSE
metastatic non-small cell adenocarcinoma	\Public Studies\GSE8581\Endpoints\Diagnosis\metastatic non-small cell adenocarcinoma\	CATEGORICAL_OPTION	/studies/gse8581/concepts/Endpoints/Diagnosis/metastatic%20non-small%20cell%20adenocarcinoma	FALSE
metastatic renal cell carcinoma	\Public Studies\GSE8581\Endpoints\Diagnosis\metastatic renal cell carcinoma\	CATEGORICAL_OPTION	/studies/gse8581/concepts/Endpoints/Diagnosis/metastatic%20renal%20cell%20carcinoma	FALSE
MRNA	\Public Studies\GSE8581\MRNA\	UNKNOWN	/studies/gse8581/concepts/MRNA	FALSE
no malignancy	\Public Studies\GSE8581\Endpoints\Diagnosis\no malignancy\	CATEGORICAL_OPTION	/studies/gse8581/concepts/Endpoints/Diagnosis/no%20malignancy	FALSE
non-small cell adenocarcinoma	\Public Studies\GSE8581\Endpoints\Diagnosis\non-small cell adenocarcinoma\	CATEGORICAL_OPTION	/studies/gse8581/concepts/Endpoints/Diagnosis/non-small%20cell%20adenocarcinoma	FALSE
non-small cell squamous cell carcinoma	\Public Studies\GSE8581\Endpoints\Diagnosis\non-small cell squamous cell carcinoma\	CATEGORICAL_OPTION	/studies/gse8581/concepts/Endpoints/Diagnosis/non-small%20cell%20squamous%20cell%20carcinoma	FALSE
not specified	\Public Studies\GSE8581\Subjects\Lung Disease\not specified\	CATEGORICAL_OPTION	/studies/gse8581/concepts/Subjects/Lung%20Disease/not%20specified	FALSE
NSC-Mixed	\Public Studies\GSE8581\Endpoints\Diagnosis\NSC-Mixed\	CATEGORICAL_OPTION	/studies/gse8581/concepts/Endpoints/Diagnosis/NSC-Mixed	FALSE
Organism	\Public Studies\GSE8581\Subjects\Organism\	CATEGORICAL_NODE	/studies/gse8581/concepts/Subjects/Organism	TRUE
Sex	\Public Studies\GSE8581\Subjects\Sex\	CATEGORICAL_NODE	/studies/gse8581/concepts/Subjects/Sex	TRUE
Subjects	\Public Studies\GSE8581\Subjects\	UNKNOWN	/studies/gse8581/concepts/Subjects	FALSE
Unknown	\Public Studies\GSE8581\Endpoints\Diagnosis\Unknown\	CATEGORICAL_OPTION	/studies/gse8581/concepts/Endpoints/Diagnosis/Unknown	FALSE
